  wn	             sow(s)	          rcvr_x(m)	          rcvr_y(m)	          rcvr_z(m)	       rcvr_vx(m/s)	       rcvr_vy(m/s)	       rcvr_vz(m/s)	     rcvr_ax(m/s^2)	     rcvr_ay(m/s^2)	     rcvr_az(m/s^2)	     jerk_ax(m/s^3)	     jerk_ay(m/s^3)	     jerk_az(m/s^3)	         longitude(rad)	          latitude(rad)	        altitude(m)	         pitch(deg)	          roll(deg)	           yaw(deg)	        distacne(m)	     elevation(deg)	       azimuth(deg)	
 756	         487976.300	-2178368.7496900358	 4381929.1392051391	 4077088.6118180477	     -10.8599321319	      -5.3879178303	       0.0326861562	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214169921693	       0.69794104105938	      50.2313503241	       0.1319580078	       0.0000000000	      90.0059127808	     184.6154319109	       0.1346359253	      89.9872665405	
 756	         487976.400	-2178369.8301745895	 4381928.5815249681	 4077088.6381799639	     -10.8104625744	      -5.6790896847	       0.3699902483	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214194766311	       0.69794104609244	      50.2341973102	       0.1315078735	       0.0000000000	      87.8529815674	     185.8317174234	       0.1341781616	      87.8466033936	
 756	         487976.500	-2178370.9152582516	 4381928.0114947055	 4077088.6753171883	     -10.9001900342	      -5.7262296081	       0.3730613801	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214219807435	       0.69794105333345	      50.2370647732	       0.1315155029	       0.0000000000	      87.8529968262	     187.0579801316	       0.1341857910	      87.8466186523	
 756	         487976.600	-2178372.0093152579	 4381927.4367504474	 4077088.7127615269	     -10.9899234398	      -5.7733695315	       0.3761325120	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214245055641	       0.69794106063432	      50.2399561871	       0.1315231323	       0.0000000000	      87.8530044556	     188.2943836954	       0.1341934204	      87.8466262817	
 756	         487976.700	-2178373.1123456671	 4381926.8572920766	 4077088.7505130996	     -11.0796568817	      -5.8205093823	       0.3792037163	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214270510933	       0.69794106799506	      50.2428715723	       0.1315307617	       0.0000000000	      87.8530120850	     189.5409281145	       0.1342010498	      87.8466415405	
 756	         487976.800	-2178374.2243495402	 4381926.2731199516	 4077088.7885714299	     -11.1693903598	      -5.8676493782	       0.3822747757	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214296173309	       0.69794107541558	      50.2458108990	       0.1315460205	       0.0000000000	      87.8530197144	     190.7976133900	       0.1342086792	      87.8466567993	
 756	         487976.900	-2178375.3453265778	 4381925.6842337120	 4077088.8269371130	     -11.2591237654	      -5.9147893016	       0.3853459075	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214322042766	       0.69794108289599	      50.2487742016	       0.1315612793	       0.0000000000	      87.8530273438	     192.0644395215	       0.1342239380	      87.8466720581	
 756	         487977.000	-2178376.4752769601	 4381925.0906334799	 4077088.8656099103	     -11.3488572073	      -5.9619292250	       0.3884171119	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214348119307	       0.69794109043625	      50.2517614802	       0.1315689087	       0.0000000000	      87.8530426025	     193.3414065091	       0.1342315674	      87.8466873169	
 756	         487977.100	-2178377.6142006861	 4381924.4923192533	 4077088.9045898225	     -11.4385906855	      -6.0090691483	       0.3914882438	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214374402931	       0.69794109803635	      50.2547727404	       0.1315765381	       0.0000000000	      87.8530502319	     194.6285143523	       0.1342468262	      87.8466949463	
 756	         487977.200	-2178378.7620975771	 4381923.8892909149	 4077088.9438770884	     -11.5283240911	      -6.0562092167	       0.3945593756	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214400893636	       0.69794110569635	      50.2578080008	       0.1315917969	       0.0000000000	      87.8530578613	     195.9257630519	       0.1342544556	      87.8467102051	
 756	         487977.300	-2178379.9189679911	 4381923.2815487012	 4077088.9834712297	     -11.6180515508	      -6.1033372483	       0.3976186156	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214427591428	       0.69794111341614	      50.2608672418	       0.1316070557	       0.0000000000	      87.8530731201	     197.2331526071	       0.1342620850	      87.8467254639	
 756	         487977.400	-2178381.0848116893	 4381922.6690926114	 4077089.0233723670	     -11.7077910111	      -6.1504889910	       0.4007017118	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214454496300	       0.69794112119576	      50.2639504680	       0.1316146851	       0.0000000000	      87.8530807495	     198.5506830193	       0.1342697144	      87.8467407227	
 756	         487977.500	-2178382.2596288514	 4381922.0519224107	 4077089.0635807384	     -11.7975244168	      -6.1976408787	       0.4037847355	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214481608260	       0.69794112903524	      50.2670577364	       0.1316299438	       0.0000000000	      87.8530883789	     199.8783542862	       0.1342849731	      87.8467559814	
